List,Name,ID,Feature Type
AC-like,CCN1,ENSG00000142871,Gene Expression
AC-like,FXYD6,ENSG00000137726,Gene Expression
AC-like,SOX4,ENSG00000124766,Gene Expression
AC-like,SCRG1,ENSG00000164106,Gene Expression
AC-like,TSC22D4,ENSG00000166925,Gene Expression
AC-like,BAALC,ENSG00000164929,Gene Expression
AC-like,GPM6A,ENSG00000150625,Gene Expression
AC-like Prolif,CHCHD2,ENSG00000106153,Gene Expression
AC-like Prolif,SEC61G,ENSG00000132432,Gene Expression
AC-like Prolif,UBE2S,ENSG00000108106,Gene Expression
AC-like Prolif,H4C3,ENSG00000197061,Gene Expression
AC-like Prolif,TUBA1B,ENSG00000123416,Gene Expression
AC-like Prolif,UBE2C,ENSG00000175063,Gene Expression
AC-like Prolif,CENPF,ENSG00000117724,Gene Expression
AC-like Prolif,TOP2A,ENSG00000131747,Gene Expression
AC-like Prolif,EGFR,ENSG00000146648,Gene Expression
AC-like Prolif,HMGB2,ENSG00000164104,Gene Expression
AC-like Prolif,HMGN2,ENSG00000198830,Gene Expression
AC-like Prolif,PTTG1,ENSG00000164611,Gene Expression
AC-like Prolif,PTN,ENSG00000105894,Gene Expression
AC-like Prolif,H2AZ1,ENSG00000164032,Gene Expression
AC-like Prolif,CCT6A,ENSG00000146731,Gene Expression
AC-like Prolif,NIPSNAP2,ENSG00000146729,Gene Expression
AC-like Prolif,DBI,ENSG00000155368,Gene Expression
AC-like Prolif,CKB,ENSG00000166165,Gene Expression
AC-like Prolif,NUSAP1,ENSG00000137804,Gene Expression
AC-like Prolif,BIRC5,ENSG00000089685,Gene Expression
AC-like Prolif,MT3,ENSG00000087250,Gene Expression
AC-like Prolif,STMN1,ENSG00000117632,Gene Expression
AC-like Prolif,CCNB1,ENSG00000134057,Gene Expression
AC-like Prolif,VOPP1,ENSG00000154978,Gene Expression
AC-like Prolif,FABP7,ENSG00000164434,Gene Expression
AC-like Prolif,TUBB,ENSG00000196230,Gene Expression
AC-like Prolif,HOPX,ENSG00000171476,Gene Expression
AC-like Prolif,PBK,ENSG00000168078,Gene Expression
AC-like Prolif,PCLAF,ENSG00000166803,Gene Expression
AC-like Prolif,TYMS,ENSG00000176890,Gene Expression
AC-like Prolif,TUBB4B,ENSG00000188229,Gene Expression
AC-like Prolif,DCN,ENSG00000011465,Gene Expression
AC-like Prolif,ARL6IP1,ENSG00000170540,Gene Expression
AC-like Prolif,POSTN,ENSG00000133110,Gene Expression
AC-like Prolif,TPX2,ENSG00000088325,Gene Expression
AC-like Prolif,SUMF2,ENSG00000129103,Gene Expression
AC-like Prolif,MDK,ENSG00000110492,Gene Expression
AC-like Prolif,H2AX,ENSG00000188486,Gene Expression
AC-like Prolif,PCNA,ENSG00000132646,Gene Expression
AC-like Prolif,PIMREG,ENSG00000129195,Gene Expression
AC-like Prolif,CCDC34,ENSG00000109881,Gene Expression
AC-like Prolif,KPNA2,ENSG00000182481,Gene Expression
AC-like Prolif,CDKN2C,ENSG00000123080,Gene Expression
AC-like Prolif,SMC4,ENSG00000113810,Gene Expression
AC-like Prolif,CKS2,ENSG00000123975,Gene Expression
AC-like Prolif,CDKN3,ENSG00000100526,Gene Expression
AC-like Prolif,CDK1,ENSG00000170312,Gene Expression
AC-like Prolif,IGFBP2,ENSG00000115457,Gene Expression
AC-like Prolif,GAS1,ENSG00000180447,Gene Expression
AC-like Prolif,UBE2T,ENSG00000077152,Gene Expression
MES-like hypoxia/MHC,IGFBP5,ENSG00000115461,Gene Expression
MES-like hypoxia/MHC,SEC61G,ENSG00000132432,Gene Expression
MES-like hypoxia/MHC,MT1X,ENSG00000187193,Gene Expression
MES-like hypoxia/MHC,CHI3L1,ENSG00000133048,Gene Expression
MES-like hypoxia/MHC,MT2A,ENSG00000125148,Gene Expression
MES-like hypoxia/MHC,IGFBP2,ENSG00000115457,Gene Expression
MES-like hypoxia/MHC,LGALS3,ENSG00000131981,Gene Expression
MES-like hypoxia/MHC,VEGFA,ENSG00000112715,Gene Expression
MES-like hypoxia/MHC,AKAP12,ENSG00000131016,Gene Expression
MES-like hypoxia/MHC,HILPDA,ENSG00000135245,Gene Expression
MES-like hypoxia/MHC,VOPP1,ENSG00000154978,Gene Expression
MES-like hypoxia/MHC,IGFBP3,ENSG00000146674,Gene Expression
MES-like hypoxia/MHC,NRN1,ENSG00000124785,Gene Expression
MES-like hypoxia/MHC,GAPDH,ENSG00000111640,Gene Expression
MES-like hypoxia/MHC,CPE,ENSG00000109472,Gene Expression
MES-like hypoxia/MHC,CLU,ENSG00000120885,Gene Expression
MES-like hypoxia/MHC,ADM,ENSG00000148926,Gene Expression
MES-like hypoxia/MHC,NDRG1,ENSG00000104419,Gene Expression
MES-like hypoxia/MHC,MT3,ENSG00000087250,Gene Expression
MES-like hypoxia/MHC,ANGPTL4,ENSG00000167772,Gene Expression
MES-like hypoxia/MHC,SPARCL1,ENSG00000152583,Gene Expression
MES-like hypoxia/MHC,VIM,ENSG00000026025,Gene Expression
MES-like hypoxia/MHC,MT1E,ENSG00000169715,Gene Expression
MES-like hypoxia/MHC,HSPA5,ENSG00000044574,Gene Expression
MES-like hypoxia/MHC,CAV1,ENSG00000105974,Gene Expression
MES-like hypoxia/MHC,CCN1,ENSG00000142871,Gene Expression
MES-like hypoxia/MHC,DNAJB9,ENSG00000128590,Gene Expression
MES-like hypoxia/MHC,TIMP1,ENSG00000102265,Gene Expression
MES-like hypoxia/MHC,ENO2,ENSG00000111674,Gene Expression
MES-like hypoxia/MHC,GADD45A,ENSG00000116717,Gene Expression
MES-like hypoxia/MHC,CNN3,ENSG00000117519,Gene Expression
MES-like hypoxia/MHC,GAP43,ENSG00000172020,Gene Expression
MES-like hypoxia/MHC,NNMT,ENSG00000166741,Gene Expression
MES-like hypoxia/MHC,CALD1,ENSG00000122786,Gene Expression
MES-like hypoxia/MHC,CRYAB,ENSG00000109846,Gene Expression
MES-like hypoxia/MHC,CD9,ENSG00000010278,Gene Expression
MES-like hypoxia/MHC,TMEM158,ENSG00000249992,Gene Expression
MES-like hypoxia/MHC,DEPP1,ENSG00000165507,Gene Expression
MES-like hypoxia/MHC,CA12,ENSG00000074410,Gene Expression
MES-like hypoxia/MHC,BNIP3,ENSG00000176171,Gene Expression
MES-like hypoxia/MHC,MDK,ENSG00000110492,Gene Expression
MES-like hypoxia/MHC,SCG2,ENSG00000171951,Gene Expression
MES-like hypoxia/MHC,TCIM,ENSG00000176907,Gene Expression
MES-like hypoxia/MHC,CSRP2,ENSG00000175183,Gene Expression
MES-like hypoxia/MHC,DDIT3,ENSG00000175197,Gene Expression
MES-like hypoxia/MHC,MAP1B,ENSG00000131711,Gene Expression
MES-like hypoxia/MHC,PTN,ENSG00000105894,Gene Expression
MES-like hypoxia/MHC,PLOD2,ENSG00000152952,Gene Expression
MES-like hypoxia/MHC,CEBPD,ENSG00000221869,Gene Expression
MES-like hypoxia/MHC,LGALS1,ENSG00000100097,Gene Expression
MES-like hypoxia independent,CHI3L1,ENSG00000133048,Gene Expression
MES-like hypoxia independent,LTF,ENSG00000012223,Gene Expression
MES-like hypoxia independent,CHI3L2,ENSG00000064886,Gene Expression
MES-like hypoxia independent,CLU,ENSG00000120885,Gene Expression
MES-like hypoxia independent,MT2A,ENSG00000125148,Gene Expression
MES-like hypoxia independent,SLPI,ENSG00000124107,Gene Expression
MES-like hypoxia independent,SOD2,ENSG00000112096,Gene Expression
MES-like hypoxia independent,SPARCL1,ENSG00000152583,Gene Expression
MES-like hypoxia independent,GFAP,ENSG00000131095,Gene Expression
MES-like hypoxia independent,MT1X,ENSG00000187193,Gene Expression
MES-like hypoxia independent,S100A6,ENSG00000197956,Gene Expression
MES-like hypoxia independent,IGFBP5,ENSG00000115461,Gene Expression
MES-like hypoxia independent,MT1E,ENSG00000169715,Gene Expression
MES-like hypoxia independent,TIMP1,ENSG00000102265,Gene Expression
MES-like hypoxia independent,TCIM,ENSG00000176907,Gene Expression
MES-like hypoxia independent,IFITM3,ENSG00000142089,Gene Expression
MES-like hypoxia independent,MT3,ENSG00000087250,Gene Expression
MES-like hypoxia independent,ID3,ENSG00000117318,Gene Expression
MES-like hypoxia independent,CRYAB,ENSG00000109846,Gene Expression
MES-like hypoxia independent,TNC,ENSG00000041982,Gene Expression
MES-like hypoxia independent,GAP43,ENSG00000172020,Gene Expression
MES-like hypoxia independent,MAP1B,ENSG00000131711,Gene Expression
MES-like hypoxia independent,FN1,ENSG00000115414,Gene Expression
MES-like hypoxia independent,FABP5,ENSG00000164687,Gene Expression
MES-like hypoxia independent,MGP,ENSG00000111341,Gene Expression
MES-like hypoxia independent,HBB,ENSG00000244734,Gene Expression
MES-like hypoxia independent,AQP1,ENSG00000240583,Gene Expression
MES-like hypoxia independent,SEC61G,ENSG00000132432,Gene Expression
MES-like hypoxia independent,HILPDA,ENSG00000135245,Gene Expression
MES-like hypoxia independent,NAMPT,ENSG00000105835,Gene Expression
MES-like hypoxia independent,MIR9-1HG,ENSG00000125462,Gene Expression
MES-like hypoxia independent,MGST1,ENSG00000008394,Gene Expression
MES-like hypoxia independent,S100A10,ENSG00000197747,Gene Expression
MES-like hypoxia independent,CSRP2,ENSG00000175183,Gene Expression
MES-like hypoxia independent,NNMT,ENSG00000166741,Gene Expression
MES-like hypoxia independent,IGFBP7,ENSG00000163453,Gene Expression
MES-like hypoxia independent,EFEMP1,ENSG00000115380,Gene Expression
MES-like hypoxia independent,CNN3,ENSG00000117519,Gene Expression
MES-like hypoxia independent,SPARC,ENSG00000113140,Gene Expression
MES-like hypoxia independent,MT1M,ENSG00000205364,Gene Expression
MES-like hypoxia independent,C1R,ENSG00000159403,Gene Expression
MES-like hypoxia independent,CAV1,ENSG00000105974,Gene Expression
MES-like hypoxia independent,VEGFA,ENSG00000112715,Gene Expression
MES-like hypoxia independent,COL6A1,ENSG00000142156,Gene Expression
MES-like hypoxia independent,AKAP12,ENSG00000131016,Gene Expression
MES-like hypoxia independent,TAGLN,ENSG00000149591,Gene Expression
MES-like hypoxia independent,MEG3,ENSG00000214548,Gene Expression
MES-like hypoxia independent,CALD1,ENSG00000122786,Gene Expression
MES-like hypoxia independent,OCIAD2,ENSG00000145247,Gene Expression
MES-like hypoxia independent,LGALS3,ENSG00000131981,Gene Expression
OPC-like,PTPRZ1,ENSG00000106278,Gene Expression
OPC-like,BCAN,ENSG00000132692,Gene Expression
OPC-like,MTRNR2L8,ENSG00000255823,Gene Expression
OPC-like,TUBA1A,ENSG00000167552,Gene Expression
OPC-like,CKB,ENSG00000166165,Gene Expression
OPC-like,GPM6A,ENSG00000150625,Gene Expression
OPC-like,MIR9-1HG,ENSG00000125462,Gene Expression
OPC-like,PTN,ENSG00000105894,Gene Expression
OPC-like,SCRG1,ENSG00000164106,Gene Expression
OPC-like,TUBB2B,ENSG00000137285,Gene Expression
OPC-like,PMP2,ENSG00000147588,Gene Expression
OPC-like,MARCKSL1,ENSG00000175130,Gene Expression
OPC-like,PDGFRA,ENSG00000134853,Gene Expression
OPC-like,FXYD6,ENSG00000137726,Gene Expression
OPC-like,MAP2,ENSG00000078018,Gene Expression
OPC-like,OLIG1,ENSG00000184221,Gene Expression
OPC-like,NOVA1,ENSG00000139910,Gene Expression
OPC-like,GAP43,ENSG00000172020,Gene Expression
OPC-like,PFN2,ENSG00000070087,Gene Expression
OPC-like,H4C3,ENSG00000197061,Gene Expression
OPC-like,S100B,ENSG00000160307,Gene Expression
OPC-like,HES6,ENSG00000144485,Gene Expression
OPC-like,SOX4,ENSG00000124766,Gene Expression
OPC-like,DLL3,ENSG00000090932,Gene Expression
OPC-like,METRN,ENSG00000103260,Gene Expression
OPC-like,ETV1,ENSG00000006468,Gene Expression
OPC-like,GPM6B,ENSG00000046653,Gene Expression
OPC-like,DBI,ENSG00000155368,Gene Expression
OPC-like,CENPF,ENSG00000117724,Gene Expression
OPC-like,SCD5,ENSG00000145284,Gene Expression
OPC-like,BEX1,ENSG00000133169,Gene Expression
OPC-like,IGFBP2,ENSG00000115457,Gene Expression
OPC-like,TUBA1B,ENSG00000123416,Gene Expression
OPC-like,MDK,ENSG00000110492,Gene Expression
OPC-like,TSC22D4,ENSG00000166925,Gene Expression
OPC-like,NNAT,ENSG00000053438,Gene Expression
OPC-like,SEC61G,ENSG00000132432,Gene Expression
OPC-like,MAP1B,ENSG00000131711,Gene Expression
OPC-like,NKAIN4,ENSG00000101198,Gene Expression
OPC-like,TOP2A,ENSG00000131747,Gene Expression
OPC-like,CDK4,ENSG00000135446,Gene Expression
OPC-like,MEST,ENSG00000106484,Gene Expression
OPC-like,STMN1,ENSG00000117632,Gene Expression
OPC-like,OS9,ENSG00000135506,Gene Expression
OPC-like,CCND2,ENSG00000118971,Gene Expression
OPC-like,GFAP,ENSG00000131095,Gene Expression
OPC-like,NUP107,ENSG00000111581,Gene Expression
OPC-like,RBP1,ENSG00000114115,Gene Expression
OPC-like,NFIB,ENSG00000147862,Gene Expression
OPC-like,CLU,ENSG00000120885,Gene Expression
OPC-like Prolif,SEC61G,ENSG00000132432,Gene Expression
OPC-like Prolif,TUBA1B,ENSG00000123416,Gene Expression
OPC-like Prolif,TUBB,ENSG00000196230,Gene Expression
OPC-like Prolif,HMGN2,ENSG00000198830,Gene Expression
OPC-like Prolif,TUBA1A,ENSG00000167552,Gene Expression
OPC-like Prolif,H4C3,ENSG00000197061,Gene Expression
OPC-like Prolif,CDK4,ENSG00000135446,Gene Expression
OPC-like Prolif,BCAN,ENSG00000132692,Gene Expression
OPC-like Prolif,CKB,ENSG00000166165,Gene Expression
OPC-like Prolif,TOP2A,ENSG00000131747,Gene Expression
OPC-like Prolif,HMGB2,ENSG00000164104,Gene Expression
OPC-like Prolif,TUBB2B,ENSG00000137285,Gene Expression
OPC-like Prolif,NOVA1,ENSG00000139910,Gene Expression
OPC-like Prolif,IGFBP2,ENSG00000115457,Gene Expression
OPC-like Prolif,STMN1,ENSG00000117632,Gene Expression
OPC-like Prolif,OS9,ENSG00000135506,Gene Expression
OPC-like Prolif,MARCKSL1,ENSG00000175130,Gene Expression
OPC-like Prolif,H2AZ1,ENSG00000164032,Gene Expression
OPC-like Prolif,PTTG1,ENSG00000164611,Gene Expression
OPC-like Prolif,SCRG1,ENSG00000164106,Gene Expression
OPC-like Prolif,PTPRZ1,ENSG00000106278,Gene Expression
OPC-like Prolif,ARL6IP1,ENSG00000170540,Gene Expression
OPC-like Prolif,SOX4,ENSG00000124766,Gene Expression
OPC-like Prolif,EGFR,ENSG00000146648,Gene Expression
OPC-like Prolif,PTN,ENSG00000105894,Gene Expression
OPC-like Prolif,UBE2C,ENSG00000175063,Gene Expression
OPC-like Prolif,GPM6A,ENSG00000150625,Gene Expression
OPC-like Prolif,HES6,ENSG00000144485,Gene Expression
OPC-like Prolif,DLL3,ENSG00000090932,Gene Expression
OPC-like Prolif,BIRC5,ENSG00000089685,Gene Expression
OPC-like Prolif,NUSAP1,ENSG00000137804,Gene Expression
OPC-like Prolif,TYMS,ENSG00000176890,Gene Expression
OPC-like Prolif,BEX1,ENSG00000133169,Gene Expression
OPC-like Prolif,MDK,ENSG00000110492,Gene Expression
OPC-like Prolif,MAP2,ENSG00000078018,Gene Expression
OPC-like Prolif,MIR9-1HG,ENSG00000125462,Gene Expression
OPC-like Prolif,CENPF,ENSG00000117724,Gene Expression
OPC-like Prolif,PBK,ENSG00000168078,Gene Expression
OPC-like Prolif,PCLAF,ENSG00000166803,Gene Expression
OPC-like Prolif,ETV1,ENSG00000006468,Gene Expression
OPC-like Prolif,FXYD6,ENSG00000137726,Gene Expression
OPC-like Prolif,PMP2,ENSG00000147588,Gene Expression
OPC-like Prolif,UBE2S,ENSG00000108106,Gene Expression
OPC-like Prolif,DBI,ENSG00000155368,Gene Expression
OPC-like Prolif,OLIG1,ENSG00000184221,Gene Expression
OPC-like Prolif,MLLT11,ENSG00000213190,Gene Expression
OPC-like Prolif,PCNA,ENSG00000132646,Gene Expression
OPC-like Prolif,CCND2,ENSG00000118971,Gene Expression
OPC-like Prolif,MDM4,ENSG00000198625,Gene Expression
OPC-like Prolif,MCM7,ENSG00000166508,Gene Expression
NPC-like OPC,CDK4,ENSG00000135446,Gene Expression
NPC-like OPC,RP11-620J15.3,ENSG00000257698,Gene Expression
NPC-like OPC,BCAN,ENSG00000132692,Gene Expression
NPC-like OPC,MARCHF9,ENSG00000139266,Gene Expression
NPC-like OPC,HES6,ENSG00000144485,Gene Expression
NPC-like OPC,OLIG1,ENSG00000184221,Gene Expression
NPC-like OPC,IGFBP2,ENSG00000115457,Gene Expression
NPC-like OPC,SCRG1,ENSG00000164106,Gene Expression
NPC-like OPC,TUBB2B,ENSG00000137285,Gene Expression
NPC-like OPC,TSFM,ENSG00000123297,Gene Expression
NPC-like OPC,RBP1,ENSG00000114115,Gene Expression
NPC-like OPC,MARCKSL1,ENSG00000175130,Gene Expression
NPC-like OPC,DLL3,ENSG00000090932,Gene Expression
NPC-like OPC,OLIG2,ENSG00000205927,Gene Expression
NPC-like OPC,TUBA1A,ENSG00000167552,Gene Expression
NPC-like OPC,TSPAN31,ENSG00000135452,Gene Expression
NPC-like OPC,PCSK1N,ENSG00000102109,Gene Expression
NPC-like OPC,FXYD6,ENSG00000137726,Gene Expression
NPC-like OPC,HSPB1,ENSG00000106211,Gene Expression
NPC-like OPC,PTN,ENSG00000105894,Gene Expression
NPC-like OPC,CKB,ENSG00000166165,Gene Expression
NPC-like OPC,SCG3,ENSG00000104112,Gene Expression
NPC-like OPC,SOX4,ENSG00000124766,Gene Expression
NPC-like OPC,PFN2,ENSG00000070087,Gene Expression
NPC-like OPC,UCHL1,ENSG00000154277,Gene Expression
NPC-like OPC,MTRNR2L8,ENSG00000255823,Gene Expression
NPC-like OPC,NOVA1,ENSG00000139910,Gene Expression
NPC-like OPC,DBI,ENSG00000155368,Gene Expression
NPC-like OPC,PHLDA1,ENSG00000139289,Gene Expression
NPC-like OPC,BAALC,ENSG00000164929,Gene Expression
NPC-like OPC,SERPINE2,ENSG00000135919,Gene Expression
NPC-like OPC,MT-CO3,ENSG00000198938,Gene Expression
NPC-like OPC,CCND1,ENSG00000110092,Gene Expression
NPC-like OPC,TSC22D1,ENSG00000102804,Gene Expression
NPC-like OPC,CDKN2A,ENSG00000147889,Gene Expression
NPC-like OPC,GPM6A,ENSG00000150625,Gene Expression
NPC-like OPC,SCD5,ENSG00000145284,Gene Expression
NPC-like OPC,BEX1,ENSG00000133169,Gene Expression
NPC-like OPC,DSEL,ENSG00000171451,Gene Expression
NPC-like OPC,APOD,ENSG00000189058,Gene Expression
NPC-like OPC,METTL1,ENSG00000037897,Gene Expression
NPC-like OPC,HSPD1,ENSG00000144381,Gene Expression
NPC-like OPC,PTPRZ1,ENSG00000106278,Gene Expression
NPC-like OPC,MAP2,ENSG00000078018,Gene Expression
NPC-like OPC,HSPH1,ENSG00000120694,Gene Expression
NPC-like OPC,NTRK2,ENSG00000148053,Gene Expression
NPC-like OPC,FABP7,ENSG00000164434,Gene Expression
NPC-like OPC,LAPTM4B,ENSG00000104341,Gene Expression
NPC-like OPC,MT-CYB,ENSG00000198727,Gene Expression
NPC-like OPC,METRN,ENSG00000103260,Gene Expression
NPC-like neural,STMN2,ENSG00000104435,Gene Expression
NPC-like neural,SOX4,ENSG00000124766,Gene Expression
NPC-like neural,TUBA1A,ENSG00000167552,Gene Expression
NPC-like neural,DLX6-AS1,ENSG00000231764,Gene Expression
NPC-like neural,NNAT,ENSG00000053438,Gene Expression
NPC-like neural,STMN1,ENSG00000117632,Gene Expression
NPC-like neural,CDK4,ENSG00000135446,Gene Expression
NPC-like neural,TUBB2B,ENSG00000137285,Gene Expression
NPC-like neural,MLLT11,ENSG00000213190,Gene Expression
NPC-like neural,SOX11,ENSG00000176887,Gene Expression
NPC-like neural,MARCKSL1,ENSG00000175130,Gene Expression
NPC-like neural,STMN4,ENSG00000015592,Gene Expression
NPC-like neural,MEG3,ENSG00000214548,Gene Expression
NPC-like neural,MAP1B,ENSG00000131711,Gene Expression
NPC-like neural,OS9,ENSG00000135506,Gene Expression
NPC-like neural,MDM2,ENSG00000135679,Gene Expression
NPC-like neural,UCHL1,ENSG00000154277,Gene Expression
NPC-like neural,TUBB2A,ENSG00000137267,Gene Expression
NPC-like neural,RBP1,ENSG00000114115,Gene Expression
NPC-like neural,NFIB,ENSG00000147862,Gene Expression
NPC-like neural,B4GALNT1,ENSG00000135454,Gene Expression
NPC-like neural,TCF4,ENSG00000196628,Gene Expression
NPC-like neural,DLX5,ENSG00000105880,Gene Expression
NPC-like neural,CD24,ENSG00000272398,Gene Expression
NPC-like neural,GPM6A,ENSG00000150625,Gene Expression
NPC-like neural,TUBB,ENSG00000196230,Gene Expression
NPC-like neural,PFN2,ENSG00000070087,Gene Expression
NPC-like neural,ELAVL4,ENSG00000162374,Gene Expression
NPC-like neural,DCX,ENSG00000077279,Gene Expression
NPC-like neural,RND3,ENSG00000115963,Gene Expression
NPC-like neural,NSG1,ENSG00000168824,Gene Expression
NPC-like neural,RP11-620J15.3,ENSG00000257698,Gene Expression
NPC-like neural,MAP2,ENSG00000078018,Gene Expression
NPC-like neural,GADD45G,ENSG00000130222,Gene Expression
NPC-like neural,PCSK1N,ENSG00000102109,Gene Expression
NPC-like neural,NREP,ENSG00000134986,Gene Expression
NPC-like neural,TSFM,ENSG00000123297,Gene Expression
NPC-like neural,NOVA1,ENSG00000139910,Gene Expression
NPC-like neural,TSPAN31,ENSG00000135452,Gene Expression
NPC-like neural,NSG2,ENSG00000170091,Gene Expression
NPC-like neural,CRMP1,ENSG00000072832,Gene Expression
NPC-like neural,BEX1,ENSG00000133169,Gene Expression
NPC-like neural,TSPAN13,ENSG00000106537,Gene Expression
NPC-like neural,HES6,ENSG00000144485,Gene Expression
NPC-like neural,DPYSL3,ENSG00000113657,Gene Expression
NPC-like neural,TMSB15A,ENSG00000158164,Gene Expression
NPC-like neural,FXYD6,ENSG00000137726,Gene Expression
NPC-like neural,BASP1,ENSG00000176788,Gene Expression
NPC-like neural,MDM4,ENSG00000198625,Gene Expression
NPC-like neural,TMEM161B-AS1,ENSG00000247828,Gene Expression
NPC-like Prolif,RP11-620J15.3,ENSG00000257698,Gene Expression
NPC-like Prolif,CDK4,ENSG00000135446,Gene Expression
NPC-like Prolif,H4C3,ENSG00000197061,Gene Expression
NPC-like Prolif,HES6,ENSG00000144485,Gene Expression
NPC-like Prolif,STMN1,ENSG00000117632,Gene Expression
NPC-like Prolif,TUBB,ENSG00000196230,Gene Expression
NPC-like Prolif,CENPF,ENSG00000117724,Gene Expression
NPC-like Prolif,CKB,ENSG00000166165,Gene Expression
NPC-like Prolif,UBE2C,ENSG00000175063,Gene Expression
NPC-like Prolif,TUBA1B,ENSG00000123416,Gene Expression
NPC-like Prolif,HMGN2,ENSG00000198830,Gene Expression
NPC-like Prolif,TOP2A,ENSG00000131747,Gene Expression
NPC-like Prolif,HMGB2,ENSG00000164104,Gene Expression
NPC-like Prolif,PTTG1,ENSG00000164611,Gene Expression
NPC-like Prolif,UBE2S,ENSG00000108106,Gene Expression
NPC-like Prolif,TUBB2B,ENSG00000137285,Gene Expression
NPC-like Prolif,H2AZ1,ENSG00000164032,Gene Expression
NPC-like Prolif,PDGFRA,ENSG00000134853,Gene Expression
NPC-like Prolif,TUBA1A,ENSG00000167552,Gene Expression
NPC-like Prolif,HSPA6,ENSG00000173110,Gene Expression
NPC-like Prolif,IGFBP2,ENSG00000115457,Gene Expression
NPC-like Prolif,BIRC5,ENSG00000089685,Gene Expression
NPC-like Prolif,MARCKSL1,ENSG00000175130,Gene Expression
NPC-like Prolif,NUSAP1,ENSG00000137804,Gene Expression
NPC-like Prolif,BCAN,ENSG00000132692,Gene Expression
NPC-like Prolif,TYMS,ENSG00000176890,Gene Expression
NPC-like Prolif,NOVA1,ENSG00000139910,Gene Expression
NPC-like Prolif,TSFM,ENSG00000123297,Gene Expression
NPC-like Prolif,ARL6IP1,ENSG00000170540,Gene Expression
NPC-like Prolif,PTN,ENSG00000105894,Gene Expression
NPC-like Prolif,TUBB4B,ENSG00000188229,Gene Expression
NPC-like Prolif,MARCHF9,ENSG00000139266,Gene Expression
NPC-like Prolif,OLIG2,ENSG00000205927,Gene Expression
NPC-like Prolif,KPNA2,ENSG00000182481,Gene Expression
NPC-like Prolif,MKI67,ENSG00000148773,Gene Expression
NPC-like Prolif,RBP1,ENSG00000114115,Gene Expression
NPC-like Prolif,MAD2L1,ENSG00000164109,Gene Expression
NPC-like Prolif,GPM6A,ENSG00000150625,Gene Expression
NPC-like Prolif,PBK,ENSG00000168078,Gene Expression
NPC-like Prolif,NNAT,ENSG00000053438,Gene Expression
NPC-like Prolif,SMC4,ENSG00000113810,Gene Expression
NPC-like Prolif,UBE2T,ENSG00000077152,Gene Expression
NPC-like Prolif,FXYD6,ENSG00000137726,Gene Expression
NPC-like Prolif,OLIG1,ENSG00000184221,Gene Expression
NPC-like Prolif,DNAJB1,ENSG00000132002,Gene Expression
NPC-like Prolif,CCNB1,ENSG00000134057,Gene Expression
NPC-like Prolif,CKS2,ENSG00000123975,Gene Expression
NPC-like Prolif,SOX4,ENSG00000124766,Gene Expression
NPC-like Prolif,METRN,ENSG00000103260,Gene Expression
NPC-like Prolif,TMSB15A,ENSG00000158164,Gene Expression
Astrocyte,SLC1A2,ENSG00000110436,Gene Expression
Astrocyte,SPARCL1,ENSG00000152583,Gene Expression
